[ 2015-11-23T11:04:26+08:00 ] /jstc/jstc/about/index/id/7 | INFO: Tag[ route_check ] --START--
[ 2015-11-23T11:04:26+08:00 ] /jstc/jstc/about/index/id/7 | INFO: Run CheckRoute Behavior [ RunTime:0.000619s ]
[ 2015-11-23T11:04:26+08:00 ] /jstc/jstc/about/index/id/7 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000720s ]
[ 2015-11-23T11:04:26+08:00 ] /jstc/jstc/about/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 122 行.
[ 2015-11-23T11:04:26+08:00 ] /jstc/jstc/about/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2015-11-23T11:04:26+08:00 ] /jstc/jstc/about/index/id/7 | INFO: Tag[ app_begin ] --START--
[ 2015-11-23T11:04:26+08:00 ] /jstc/jstc/about/index/id/7 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000354s ]
[ 2015-11-23T11:04:26+08:00 ] /jstc/jstc/about/index/id/7 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000393s ]
[ 2015-11-23T11:04:26+08:00 ] /jstc/jstc/about/index/id/7 | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2015-11-23T11:04:26+08:00 ] /jstc/jstc/about/index/id/7 | SQL: SHOW COLUMNS FROM `menu` [ RunTime:0.001973s ]
[ 2015-11-23T11:04:26+08:00 ] /jstc/jstc/about/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-11-23T11:04:26+08:00 ] /jstc/jstc/about/index/id/7 | SQL: SELECT * FROM `menu` WHERE ( `fid` = '1' )  [ RunTime:0.000151s ]
